date,code,program_net_value,updated_at
2026-02-09,007280,8669468.0,2026-02-09T01:15:29.760369
2026-02-09,0072Z0,0.0,2026-02-09T01:15:34.613370
2026-02-09,007310,267108750.0,2026-02-09T01:15:39.539902
2026-02-09,007330,168852225.0,2026-02-09T01:15:44.032515
2026-02-09,007340,400624200.0,2026-02-09T01:15:48.986991
2026-02-09,007370,-4649400.0,2026-02-09T01:15:53.541216
2026-02-09,007390,313021100.0,2026-02-09T01:15:58.221413
2026-02-09,007460,-245139708.0,2026-02-09T01:16:03.476668
2026-02-09,007530,-694505.0,2026-02-09T01:16:08.537295
2026-02-09,007540,-6962500.0,2026-02-09T01:16:13.723158
2026-02-09,007570,0.0,2026-02-09T01:16:18.334116
2026-02-09,007575,0.0,2026-02-09T01:16:23.513202
2026-02-09,007590,-6466540.0,2026-02-09T01:16:28.337882
2026-02-09,007610,0.0,2026-02-09T01:16:32.777007
2026-02-09,007660,-2577510450.0,2026-02-09T01:16:37.756235
2026-02-09,007680,-12465440.0,2026-02-09T01:16:42.517117
2026-02-09,007690,-16643000.0,2026-02-09T01:16:47.244477
2026-02-09,007700,2485600.0,2026-02-09T01:16:51.976469
2026-02-09,007720,10256638.0,2026-02-09T01:16:56.351823
2026-02-09,007770,2824540.0,2026-02-09T01:17:00.863554
2026-02-09,007810,-1922450450.0,2026-02-09T01:17:05.786997
2026-02-09,007815,0.0,2026-02-09T01:17:10.508967
2026-02-09,00781K,0.0,2026-02-09T01:17:15.059701
2026-02-09,007820,-266565235.0,2026-02-09T01:17:19.883861
2026-02-09,007860,136586200.0,2026-02-09T01:17:24.438921
2026-02-09,007980,-8814693.0,2026-02-09T01:17:29.056529
2026-02-09,008040,28108351.0,2026-02-09T01:17:33.626251
2026-02-09,008060,-61089900.0,2026-02-09T01:17:38.193452
2026-02-09,00806K,0.0,2026-02-09T01:17:42.720221
2026-02-09,008110,0.0,2026-02-09T01:17:47.346344
2026-02-09,008250,-164039490.0,2026-02-09T01:17:51.973521
2026-02-09,008260,63389625.0,2026-02-09T01:17:56.588641
2026-02-09,008350,-25837621.0,2026-02-09T01:18:05.067699
2026-02-09,008355,0.0,2026-02-09T01:18:09.682685
2026-02-09,008370,-457345.0,2026-02-09T01:18:14.534628
2026-02-09,008420,2168160.0,2026-02-09T01:18:19.287553
2026-02-09,008470,159185.0,2026-02-09T01:18:23.764846
2026-02-09,008490,-116410500.0,2026-02-09T01:18:28.265788
2026-02-09,008500,1932540.0,2026-02-09T01:18:33.283018
2026-02-09,008600,19372546.0,2026-02-09T01:18:37.879206
2026-02-09,008700,43603579.0,2026-02-09T01:18:42.725080
2026-02-09,008730,1119682025.0,2026-02-09T01:18:47.450898
2026-02-09,008770,-131273550.0,2026-02-09T01:18:52.270547
2026-02-09,008775,0.0,2026-02-09T01:18:56.954458
2026-02-09,008830,187959975.0,2026-02-09T01:19:01.621165
2026-02-09,0088D0,0.0,2026-02-09T01:19:10.600505
2026-02-09,008930,502302100.0,2026-02-09T01:19:15.204398
2026-02-09,008970,241037016.0,2026-02-09T01:19:19.973511
2026-02-09,009070,-19948015.0,2026-02-09T01:19:24.765006
2026-02-09,009140,2422850.0,2026-02-09T01:19:29.287103
2026-02-09,009150,4976208250.0,2026-02-09T01:19:33.880548
2026-02-09,009155,0.0,2026-02-09T01:19:38.541545
2026-02-09,009160,43702475.0,2026-02-09T01:19:43.304015
2026-02-09,009180,12273395.0,2026-02-09T01:19:47.549478
2026-02-09,009190,-152775150.0,2026-02-09T01:19:52.048950
2026-02-09,0091W0,3569745.0,2026-02-09T01:19:56.842608
2026-02-09,009200,-5578410.0,2026-02-09T01:20:01.784406
2026-02-09,009240,368148300.0,2026-02-09T01:20:06.726709
2026-02-09,009270,-140077624.0,2026-02-09T01:20:11.678147
2026-02-09,009290,-3798710.0,2026-02-09T01:20:17.489855
2026-02-09,009300,3797355.0,2026-02-09T01:20:22.993549
2026-02-09,009310,6602184.0,2026-02-09T01:20:27.433119
2026-02-09,009320,-13234704.0,2026-02-09T01:20:32.179297
2026-02-09,0093G0,587412.0,2026-02-09T01:20:37.044850
2026-02-09,009410,69660383.0,2026-02-09T01:20:41.899073
2026-02-09,009415,0.0,2026-02-09T01:20:46.568773
2026-02-09,009420,2091426700.0,2026-02-09T01:20:51.218644
