code,name,market,marcap,updated_at
003220,대원제약,KOSPI,255450170370.0,2026-02-08T07:59:48.410244
003230,삼양식품,KOSPI,7984995900000.0,2026-02-08T07:59:48.410244
003240,태광산업,KOSPI,1026554800000.0,2026-02-08T07:59:48.410244
003280,흥아해운,KOSPI,411607427088.0,2026-02-08T07:59:48.410244
003300,한일홀딩스,KOSPI,495176117040.0,2026-02-08T07:59:48.410244
003310,대주산업,KOSDAQ,169175433000.0,2026-02-08T07:59:48.410244
003350,한국화장품제조,KOSPI,228866000000.0,2026-02-08T07:59:48.410244
003380,하림지주,KOSDAQ GLOBAL,1730486844450.0,2026-02-08T07:59:48.410244
003460,유화증권,KOSPI,171808317450.0,2026-02-08T07:59:48.410244
003465,유화증권우,KOSPI,47448493875.0,2026-02-08T07:59:48.410244
003470,유안타증권,KOSPI,872237037120.0,2026-02-08T07:59:48.410244
003475,유안타증권우,KOSPI,54683217820.0,2026-02-08T07:59:48.410244
003480,한진중공업홀딩스,KOSPI,143219588200.0,2026-02-08T07:59:48.410244
003490,대한항공,KOSPI,8653185533500.0,2026-02-08T07:59:48.410244
003495,대한항공우,KOSPI,26159198700.0,2026-02-08T07:59:48.410244
003520,영진약품,KOSPI,339266016005.0,2026-02-08T07:59:48.410244
003530,한화투자증권,KOSPI,1306595949750.0,2026-02-08T07:59:48.410244
003535,한화투자증권우,KOSPI,42048000000.0,2026-02-08T07:59:48.410244
003540,대신증권,KOSPI,1523202000000.0,2026-02-08T07:59:48.410244
003545,대신증권우,KOSPI,590200000000.0,2026-02-08T07:59:48.410244
003547,대신증권2우B,KOSPI,218000000000.0,2026-02-08T07:59:48.410244
003550,LG,KOSPI,13833676174500.0,2026-02-08T07:59:48.410244
003555,LG우,KOSPI,207772731000.0,2026-02-08T07:59:48.410244
003570,SNT다이내믹스,KOSPI,1634370057550.0,2026-02-08T07:59:48.410244
003580,HLB글로벌,KOSPI,108673218225.0,2026-02-08T07:59:48.410244
003610,방림,KOSPI,241614969580.0,2026-02-08T07:59:48.410244
003620,KG모빌리티,KOSPI,802416526080.0,2026-02-08T07:59:48.410244
003650,미창석유,KOSPI,212587918400.0,2026-02-08T07:59:48.410244
003670,포스코퓨처엠,KOSPI,19390275960000.0,2026-02-08T07:59:48.410244
003680,한성기업,KOSPI,31916907100.0,2026-02-08T07:59:48.410244
003690,코리안리,KOSPI,2378764788510.0,2026-02-08T07:59:48.410244
003720,삼영,KOSPI,238000000000.0,2026-02-08T07:59:48.410244
003780,진양산업,KOSPI,79560000000.0,2026-02-08T07:59:48.410244
0037T0,KB제32호스팩,KOSDAQ,12849900000.0,2026-02-08T07:59:48.410244
003800,에이스침대,KOSDAQ,376505500000.0,2026-02-08T07:59:48.410244
003830,대한화섬,KOSPI,153649600000.0,2026-02-08T07:59:48.410244
003850,보령,KOSPI,797821025100.0,2026-02-08T07:59:48.410244
003920,남양유업,KOSPI,293400000000.0,2026-02-08T07:59:48.410244
003925,남양유업우,KOSPI,66000000000.0,2026-02-08T07:59:48.410244
003960,사조대림,KOSPI,336794162250.0,2026-02-08T07:59:48.410244
004000,롯데정밀화학,KOSPI,1175190000000.0,2026-02-08T07:59:48.410244
004020,현대제철,KOSPI,4123474756500.0,2026-02-08T07:59:48.410244
004060,SG세계물산,KOSPI,99390655360.0,2026-02-08T07:59:48.410244
004080,신흥,KOSPI,128915000000.0,2026-02-08T07:59:48.410244
004090,한국석유,KOSPI,190284858800.0,2026-02-08T07:59:48.410244
004100,태양금속,KOSPI,86612000000.0,2026-02-08T07:59:48.410244
004105,태양금속우,KOSPI,11533500000.0,2026-02-08T07:59:48.410244
004140,동방,KOSPI,120888850320.0,2026-02-08T07:59:48.410244
004150,한솔홀딩스,KOSPI,132105716400.0,2026-02-08T07:59:48.410244
004170,신세계,KOSPI,3178087139500.0,2026-02-08T07:59:48.410244
0041B0,교보18호스팩,KOSDAQ,10533600000.0,2026-02-08T07:59:48.410244
0041J0,엘에스스팩1호,KOSDAQ,8261100000.0,2026-02-08T07:59:48.410244
0041L0,하나35호스팩,KOSDAQ,12120300000.0,2026-02-08T07:59:48.410244
