date,code,vi_count,updated_at
2026-02-09,001360,0,2026-02-09T01:19:49.434698
2026-02-09,001380,0,2026-02-09T01:19:54.037840
2026-02-09,001390,0,2026-02-09T01:19:58.869054
2026-02-09,0013V0,0,2026-02-09T01:20:04.205552
2026-02-09,001420,0,2026-02-09T01:20:08.930037
2026-02-09,001430,0,2026-02-09T01:20:13.679458
2026-02-09,001440,0,2026-02-09T01:20:18.531226
2026-02-09,001450,0,2026-02-09T01:20:23.571788
2026-02-09,001460,0,2026-02-09T01:20:28.143501
2026-02-09,001465,0,2026-02-09T01:20:32.637792
2026-02-09,001470,0,2026-02-09T01:20:37.307641
2026-02-09,001500,0,2026-02-09T01:20:42.361079
2026-02-09,001510,0,2026-02-09T01:20:46.919348
2026-02-09,001515,0,2026-02-09T01:20:51.746799
2026-02-09,001520,0,2026-02-09T01:20:56.310459
2026-02-09,001525,0,2026-02-09T01:21:01.068411
2026-02-09,001527,0,2026-02-09T01:21:06.142684
2026-02-09,001530,0,2026-02-09T01:21:11.015628
2026-02-09,001540,0,2026-02-09T01:21:15.766548
2026-02-09,001550,1,2026-02-09T01:21:20.408385
2026-02-09,001560,0,2026-02-09T01:21:24.951016
2026-02-09,001570,0,2026-02-09T01:21:29.515877
2026-02-09,0015G0,0,2026-02-09T01:21:34.441704
2026-02-09,0015N0,0,2026-02-09T01:21:39.317574
2026-02-09,0015S0,0,2026-02-09T01:21:44.277214
2026-02-09,001620,0,2026-02-09T01:21:48.964521
2026-02-09,001630,0,2026-02-09T01:21:53.481302
2026-02-09,001680,0,2026-02-09T01:21:57.988228
2026-02-09,001685,0,2026-02-09T01:22:02.922465
2026-02-09,001720,0,2026-02-09T01:22:07.603776
2026-02-09,001740,0,2026-02-09T01:22:12.273501
2026-02-09,001750,0,2026-02-09T01:22:17.255258
2026-02-09,001755,0,2026-02-09T01:22:21.489625
2026-02-09,001770,0,2026-02-09T01:22:26.251078
2026-02-09,001780,0,2026-02-09T01:22:31.005779
2026-02-09,001790,0,2026-02-09T01:22:35.772756
2026-02-09,001795,0,2026-02-09T01:22:40.490362
2026-02-09,001800,0,2026-02-09T01:22:45.174255
2026-02-09,001810,0,2026-02-09T01:22:49.904103
2026-02-09,001820,0,2026-02-09T01:22:54.639232
2026-02-09,001840,0,2026-02-09T01:22:59.371329
2026-02-09,001940,0,2026-02-09T01:23:03.850514
2026-02-09,002020,0,2026-02-09T01:23:08.678460
2026-02-09,002025,0,2026-02-09T01:23:13.122364
2026-02-09,002030,0,2026-02-09T01:23:17.518792
2026-02-09,002070,0,2026-02-09T01:23:22.001256
2026-02-09,002100,0,2026-02-09T01:23:28.160039
2026-02-09,002140,0,2026-02-09T01:23:32.918987
2026-02-09,002150,0,2026-02-09T01:23:37.344468
2026-02-09,002170,0,2026-02-09T01:23:42.463099
2026-02-09,002200,0,2026-02-09T01:23:47.117596
2026-02-09,002210,0,2026-02-09T01:23:51.885476
2026-02-09,002220,2,2026-02-09T01:23:56.601483
2026-02-09,002230,1,2026-02-09T01:24:01.014936
2026-02-09,002240,0,2026-02-09T01:24:05.958187
2026-02-09,002290,0,2026-02-09T01:24:10.908756
2026-02-09,002310,1,2026-02-09T01:24:15.829845
2026-02-09,002320,0,2026-02-09T01:24:20.567652
2026-02-09,002350,0,2026-02-09T01:24:25.271131
2026-02-09,002355,0,2026-02-09T01:24:29.989429
2026-02-09,002360,0,2026-02-09T01:24:35.004711
2026-02-09,002380,0,2026-02-09T01:24:39.520771
2026-02-09,002390,0,2026-02-09T01:24:44.027075
2026-02-09,002410,0,2026-02-09T01:24:48.486270
2026-02-09,002420,0,2026-02-09T01:24:52.694454
2026-02-09,002450,0,2026-02-09T01:24:57.171234
2026-02-09,002460,0,2026-02-09T01:25:01.982477
2026-02-09,002600,0,2026-02-09T01:25:06.565595
2026-02-09,002630,0,2026-02-09T01:25:17.268405
2026-02-09,002680,0,2026-02-09T01:25:22.028183
2026-02-09,002690,0,2026-02-09T01:25:26.516679
2026-02-09,002700,0,2026-02-09T01:25:30.948788
2026-02-09,002710,0,2026-02-09T01:25:35.700356
2026-02-09,002720,0,2026-02-09T01:25:40.390576
2026-02-09,002760,0,2026-02-09T01:25:44.989264
2026-02-09,002780,0,2026-02-09T01:25:49.790848
2026-02-09,002785,0,2026-02-09T01:25:54.187468
2026-02-09,002787,0,2026-02-09T01:25:58.693852
2026-02-09,002790,1,2026-02-09T01:26:03.635759
2026-02-09,002795,0,2026-02-09T01:26:08.450504
2026-02-09,00279K,0,2026-02-09T01:26:13.163743
2026-02-09,002800,0,2026-02-09T01:26:17.723829
2026-02-09,002810,0,2026-02-09T01:26:22.344873
2026-02-09,002820,0,2026-02-09T01:26:26.930001
2026-02-09,002840,0,2026-02-09T01:26:31.446129
2026-02-09,002870,0,2026-02-09T01:26:35.974175
2026-02-09,002880,0,2026-02-09T01:26:40.531240
2026-02-09,002900,0,2026-02-09T01:26:45.241354
2026-02-09,002920,0,2026-02-09T01:26:49.754420
2026-02-09,002960,0,2026-02-09T01:26:54.136190
2026-02-09,002990,0,2026-02-09T01:26:58.624255
2026-02-09,002995,0,2026-02-09T01:27:03.573831
2026-02-09,003000,0,2026-02-09T01:27:08.451877
2026-02-09,003010,0,2026-02-09T01:27:13.242653
2026-02-09,003060,0,2026-02-09T01:27:22.518912
2026-02-09,003070,0,2026-02-09T01:27:27.112863
2026-02-09,003075,0,2026-02-09T01:27:31.707543
2026-02-09,003080,0,2026-02-09T01:27:36.300280
2026-02-09,003090,0,2026-02-09T01:27:40.509226
2026-02-09,0030R0,0,2026-02-09T01:27:45.104715
2026-02-09,003100,0,2026-02-09T01:27:49.637070
2026-02-09,003120,0,2026-02-09T01:27:53.916086
2026-02-09,003160,1,2026-02-09T01:27:58.558009
2026-02-09,003200,1,2026-02-09T01:28:03.449708
2026-02-09,003220,0,2026-02-09T01:28:08.280933
2026-02-09,003230,0,2026-02-09T01:28:12.845418
2026-02-09,003240,0,2026-02-09T01:28:17.301352
2026-02-09,003280,0,2026-02-09T01:28:22.193117
2026-02-09,003300,0,2026-02-09T01:28:26.823555
