date,code,loan_qty,loan_value,updated_at
2026-02-09,207940,1601102534.0,108885771.0,2026-02-10T03:56:37.607664
2026-02-09,213420,1484119092.0,32353138.0,2026-02-10T03:56:38.513055
2026-02-09,214150,1484119092.0,32353138.0,2026-02-10T06:22:24.668181
2026-02-09,214370,1484119092.0,32353138.0,2026-02-10T06:22:25.468058
2026-02-09,214430,1484119092.0,32353138.0,2026-02-10T03:56:46.140286
2026-02-09,214450,1484119092.0,32353138.0,2026-02-10T03:56:47.416924
2026-02-09,218410,1484119092.0,32353138.0,2026-02-10T03:56:48.439506
2026-02-09,222080,1484119092.0,32353138.0,2026-02-10T03:56:49.469179
2026-02-09,222800,1484119092.0,32353138.0,2026-02-10T03:56:51.741084
2026-02-09,225570,1484119092.0,32353138.0,2026-02-10T06:22:30.532452
2026-02-09,226950,1484119092.0,32353138.0,2026-02-10T03:56:54.519890
2026-02-09,232140,1484119092.0,32353138.0,2026-02-10T03:56:57.529602
2026-02-09,237690,1484119092.0,32353138.0,2026-02-10T03:56:59.524360
2026-02-09,240810,1484119092.0,32353138.0,2026-02-10T06:22:33.668102
2026-02-09,241560,1601102534.0,108885771.0,2026-02-10T06:22:34.502932
2026-02-09,241710,1484119092.0,32353138.0,2026-02-10T03:57:03.212111
2026-02-09,247540,1484119092.0,32353138.0,2026-02-10T06:22:36.135312
2026-02-09,253450,1484119092.0,32353138.0,2026-02-10T03:57:05.566143
2026-02-09,257720,1484119092.0,32353138.0,2026-02-10T03:57:06.463148
2026-02-09,259960,1601102534.0,108885771.0,2026-02-10T06:22:38.373095
2026-02-09,263750,1484119092.0,32353138.0,2026-02-10T03:57:09.011999
2026-02-09,267250,1601102534.0,108885771.0,2026-02-10T06:22:39.782694
2026-02-09,267260,1601102534.0,108885771.0,2026-02-10T03:57:12.913334
2026-02-09,267270,1601102534.0,108885771.0,2026-02-10T06:22:41.363722
2026-02-09,272210,1601102534.0,108885771.0,2026-02-10T06:22:42.081371
2026-02-09,272290,1484119092.0,32353138.0,2026-02-10T03:57:17.109503
2026-02-09,277810,1484119092.0,32353138.0,2026-02-10T06:22:43.469349
2026-02-09,278470,1601102534.0,108885771.0,2026-02-10T06:22:44.117376
2026-02-09,281740,1484119092.0,32353138.0,2026-02-10T03:57:22.309756
2026-02-09,290650,1484119092.0,32353138.0,2026-02-10T03:57:23.514631
2026-02-09,293490,1484119092.0,32353138.0,2026-02-10T03:57:24.463629
2026-02-09,295310,1484119092.0,32353138.0,2026-02-10T03:57:25.711484
2026-02-09,298040,1601102534.0,108885771.0,2026-02-10T06:22:48.422218
2026-02-09,298380,1484119092.0,32353138.0,2026-02-10T06:22:49.190947
2026-02-09,307950,1601102534.0,108885771.0,2026-02-10T06:22:49.969676
2026-02-09,310210,1484119092.0,32353138.0,2026-02-10T03:57:31.909753
2026-02-09,316140,1601102534.0,108885771.0,2026-02-10T06:22:51.513288
2026-02-09,319400,1484119092.0,32353138.0,2026-02-10T03:57:34.219474
2026-02-09,319660,1484119092.0,32353138.0,2026-02-10T03:57:35.256269
2026-02-09,323280,1484119092.0,32353138.0,2026-02-10T03:57:36.553037
2026-02-09,323410,1601102534.0,108885771.0,2026-02-10T06:22:54.238335
2026-02-09,326030,1601102534.0,108885771.0,2026-02-10T06:22:54.949600
2026-02-09,328130,1484119092.0,32353138.0,2026-02-10T03:57:42.831269
2026-02-09,329180,1601102534.0,108885771.0,2026-02-10T03:57:44.012869
2026-02-09,347700,1484119092.0,32353138.0,2026-02-10T03:57:45.011855
2026-02-09,347850,1484119092.0,32353138.0,2026-02-10T03:57:49.417205
2026-02-09,348210,1484119092.0,32353138.0,2026-02-10T03:57:50.513236
2026-02-09,348340,1484119092.0,32353138.0,2026-02-10T06:22:59.194840
2026-02-09,348370,1484119092.0,32353138.0,2026-02-10T03:57:53.612705
2026-02-09,352820,1601102534.0,108885771.0,2026-02-10T06:23:03.908694
2026-02-09,357780,1484119092.0,32353138.0,2026-02-10T03:57:56.012342
2026-02-09,358570,1484119092.0,32353138.0,2026-02-10T03:57:57.109489
2026-02-09,373220,1601102534.0,108885771.0,2026-02-10T03:57:58.354169
2026-02-09,376300,1484119092.0,32353138.0,2026-02-10T03:57:59.448790
2026-02-09,376900,1484119092.0,32353138.0,2026-02-10T03:58:00.858623
2026-02-09,377300,1601102534.0,108885771.0,2026-02-10T06:23:11.342671
2026-02-09,388210,1484119092.0,32353138.0,2026-02-10T03:58:04.308222
2026-02-09,388720,1484119092.0,32353138.0,2026-02-10T03:58:05.717984
2026-02-09,389470,1484119092.0,32353138.0,2026-02-10T03:58:06.838309
2026-02-09,397030,1484119092.0,32353138.0,2026-02-10T03:58:08.106939
2026-02-09,402340,1601102534.0,108885771.0,2026-02-10T03:58:09.460406
2026-02-09,403870,1484119092.0,32353138.0,2026-02-10T03:58:10.614322
2026-02-09,417200,1484119092.0,32353138.0,2026-02-10T03:58:12.209446
2026-02-09,437730,1484119092.0,32353138.0,2026-02-10T06:23:20.476553
2026-02-09,440110,1484119092.0,32353138.0,2026-02-10T03:58:14.612704
2026-02-09,443060,1601102534.0,108885771.0,2026-02-10T06:23:22.297197
2026-02-09,445680,1484119092.0,32353138.0,2026-02-10T03:58:17.006397
2026-02-09,454910,1601102534.0,108885771.0,2026-02-10T06:23:23.706321
2026-02-09,456160,1484119092.0,32353138.0,2026-02-10T03:58:20.227418
2026-02-09,458870,1484119092.0,32353138.0,2026-02-10T03:58:21.905941
2026-02-09,466100,1484119092.0,32353138.0,2026-02-10T03:58:23.564512
2026-02-09,468530,1484119092.0,32353138.0,2026-02-10T03:58:24.846160
2026-02-09,475830,1484119092.0,32353138.0,2026-02-10T03:58:25.829729
2026-02-09,476830,1484119092.0,32353138.0,2026-02-10T06:23:28.891798
2026-02-09,486990,1484119092.0,32353138.0,2026-02-10T03:58:28.133059
2026-02-09,490470,1484119092.0,32353138.0,2026-02-10T03:58:29.075287
2026-02-09,491000,1484119092.0,32353138.0,2026-02-10T03:58:30.285664
2026-02-09,950160,1484119092.0,32353138.0,2026-02-10T06:23:32.219522
2026-02-09,028300,1484119092.0,32353138.0,2026-02-10T05:59:55.216727
2026-02-09,029780,1601102534.0,108885771.0,2026-02-10T05:59:56.400370
2026-02-09,052690,1601102534.0,108885771.0,2026-02-10T06:10:53.074749
2026-02-09,161390,1601102534.0,108885771.0,2026-02-10T06:22:11.342167
2026-02-09,161580,1484119092.0,32353138.0,2026-02-10T06:22:12.121298
