code,sector_code,sector_name,industry_code,industry_name,updated_at,source
011200,019,운수창고,085001,해상 운송업,2026-02-10T04:25:01.808782,search_stock_info
012330,015,운수장비,033003,자동차 부품 제조업,2026-02-10T04:25:02.621241,search_stock_info
012450,014,의료정밀,033103,"항공기,우주선 및 부품 제조업",2026-02-10T04:25:03.239554,search_stock_info
0126Z0,11,기타 금융업,116409,기타 금융업,2026-02-10T04:25:03.853891,search_stock_info:industry_fallback
014620,024,제조,032401,1차 철강 제조업,2026-02-10T04:25:04.808547,search_stock_info
015760,017,전기가스업,043501,전기업,2026-02-10T04:25:05.695443,search_stock_info
016360,021,금융업,116601,금융지원 서비스업,2026-02-10T04:25:06.307846,search_stock_info
017670,020,통신업,106102,전기통신업,2026-02-10T04:25:06.993717,search_stock_info
018260,025,보험,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2026-02-10T04:25:07.676284,search_stock_info
021240,026,서비스업,199609,그외 기타 개인 서비스업,2026-02-10T04:25:08.244671,search_stock_info
022100,13,"건축기술, 엔지니어링 및 관련기술 서비스업",137201,"건축기술, 엔지니어링 및 관련기술 서비스업",2026-02-10T04:25:08.967652,search_stock_info:industry_fallback
024110,021,금융업,116401,은행 및 저축기관,2026-02-10T04:25:09.644969,search_stock_info
025980,037,오락·문화,095501,숙박시설 운영업,2026-02-10T04:25:10.414037,search_stock_info
028050,026,서비스업,137201,"건축기술, 엔지니어링 및 관련기술 서비스업",2026-02-10T04:25:10.997609,search_stock_info
028260,07,기타 전문 도매업,074607,기타 전문 도매업,2026-02-10T04:25:11.571213,search_stock_info:industry_fallback
028300,033,사업서비스,032103,의료용품 및 기타 의약관련제품 제조업,2026-02-10T04:25:12.406798,search_stock_info
029780,021,금융업,116409,기타 금융업,2026-02-10T04:25:13.113141,search_stock_info
030200,020,통신업,106102,전기통신업,2026-02-10T04:25:13.793423,search_stock_info
030530,043,IT H/W,032001,기초화학물질 제조업,2026-02-10T04:25:14.583551,search_stock_info
031980,043,IT H/W,032902,특수 목적용 기계 제조업,2026-02-10T04:25:15.235093,search_stock_info
032190,027,유통,074605,기계장비 및 관련 물품 도매업,2026-02-10T04:25:15.904244,search_stock_info
032500,043,IT H/W,032604,통신 및 방송 장비 제조업,2026-02-10T04:25:16.491085,search_stock_info
032640,020,통신업,106102,전기통신업,2026-02-10T04:25:17.106726,search_stock_info
032820,024,제조,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-02-10T04:25:18.006258,search_stock_info
032830,11,보험업,116501,보험업,2026-02-10T04:25:18.655745,search_stock_info:industry_fallback
033100,043,IT H/W,032801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2026-02-10T04:25:19.306946,search_stock_info
033500,024,제조,032001,기초화학물질 제조업,2026-02-10T04:25:19.908299,search_stock_info
033780,03,담배 제조업,031201,담배 제조업,2026-02-10T04:25:20.506601,search_stock_info:industry_fallback
034020,012,기계,032901,일반 목적용 기계 제조업,2026-02-10T04:25:21.310114,search_stock_info
034220,013,"전기,전자",032602,전자부품 제조업,2026-02-10T04:25:22.090547,search_stock_info
034730,11,기타 금융업,116409,기타 금융업,2026-02-10T04:25:22.708418,search_stock_info:industry_fallback
035420,026,서비스업,106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",2026-02-10T04:25:23.308406,search_stock_info
035720,10,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",106301,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",2026-02-10T04:25:24.206250,search_stock_info:industry_fallback
035760,041,통신방송서비스,106002,텔레비전 방송업,2026-02-10T04:25:24.806162,search_stock_info
035900,033,사업서비스,105902,오디오물 출판 및 원판 녹음업,2026-02-10T04:25:25.447609,search_stock_info
036540,043,IT H/W,032601,반도체 제조업,2026-02-10T04:25:26.106436,search_stock_info
036810,043,IT H/W,032602,전자부품 제조업,2026-02-10T04:25:26.706147,search_stock_info
036830,024,제조,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",2026-02-10T04:25:27.544925,search_stock_info
036930,043,IT H/W,032902,특수 목적용 기계 제조업,2026-02-10T04:25:28.227186,search_stock_info
038500,023,광업,032309,기타 비금속 광물제품 제조업,2026-02-10T04:25:28.818395,search_stock_info
039030,043,IT H/W,032902,특수 목적용 기계 제조업,2026-02-10T04:25:29.605534,search_stock_info
039200,024,제조,032102,의약품 제조업,2026-02-10T04:25:32.406221,search_stock_info
039490,11,금융지원 서비스업,116601,금융지원 서비스업,2026-02-10T04:25:32.989255,search_stock_info:industry_fallback
041510,024,제조,105902,오디오물 출판 및 원판 녹음업,2026-02-10T04:25:33.791909,search_stock_info
