code,sector_name,industry_name,source
VST,Utilities,Electric Utilities,WIKI_SP500
VMC,Materials,Construction Materials,WIKI_SP500
WRB,Financials,Property & Casualty Insurance,WIKI_SP500
GWW,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
WAB,Industrials,Construction Machinery & Heavy Transportation Equipment,WIKI_SP500
WMT,Consumer Staples,Consumer Staples Merchandise Retail,WIKI_SP500
DIS,Communication Services,Movies & Entertainment,WIKI_SP500
WBD,Communication Services,Broadcasting,WIKI_SP500
WM,Industrials,Environmental & Facilities Services,WIKI_SP500
WAT,Health Care,Life Sciences Tools & Services,WIKI_SP500
WEC,Utilities,Electric Utilities,WIKI_SP500
WFC,Financials,Diversified Banks,WIKI_SP500
WELL,Real Estate,Health Care REITs,WIKI_SP500
WST,Health Care,Health Care Supplies,WIKI_SP500
WDC,Information Technology,"Technology Hardware, Storage & Peripherals",WIKI_SP500
WY,Real Estate,Timber REITs,WIKI_SP500
WSM,Consumer Discretionary,Homefurnishing Retail,WIKI_SP500
WMB,Energy,Oil & Gas Storage & Transportation,WIKI_SP500
WTW,Financials,Insurance Brokers,WIKI_SP500
WDAY,Information Technology,Application Software,WIKI_SP500
WYNN,Consumer Discretionary,Casinos & Gaming,WIKI_SP500
XEL,Utilities,Multi-Utilities,WIKI_SP500
XYL,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
YUM,Consumer Discretionary,Restaurants,WIKI_SP500
ALNY,Health Care,Biotechnology,WIKI_NASDAQ100
ARM,Information Technology,Semiconductors,WIKI_NASDAQ100
ASML,Information Technology,Industrial Machinery,WIKI_NASDAQ100
TEAM,Information Technology,Computer Software,WIKI_NASDAQ100
CCEP,Consumer Staples,Soft Drinks,WIKI_NASDAQ100
FER,Industrials,"Military, Government, Technical",WIKI_NASDAQ100
INSM,Health Care,Biotechnology,WIKI_NASDAQ100
MRVL,Information Technology,Semiconductors,WIKI_NASDAQ100
MELI,Consumer Discretionary,Catalog/Specialty Distribution,WIKI_NASDAQ100
MSTR,Information Technology,Computer Software,WIKI_NASDAQ100
PDD,Information Technology,EDP Services,WIKI_NASDAQ100
SHOP,Information Technology,Computer Software,WIKI_NASDAQ100
TRI,Information Technology,Computer Software,WIKI_NASDAQ100
