code,sector_name,industry_name,source
FISV,Financials,Transaction & Payment Processing Services,WIKI_SP500
F,Consumer Discretionary,Automobile Manufacturers,WIKI_SP500
FTNT,Information Technology,Systems Software,WIKI_SP500
FTV,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
FOXA,Communication Services,Broadcasting,WIKI_SP500
FOX,Communication Services,Broadcasting,WIKI_SP500
BEN,Financials,Asset Management & Custody Banks,WIKI_SP500
FCX,Materials,Copper,WIKI_SP500
GRMN,Consumer Discretionary,Consumer Electronics,WIKI_SP500
IT,Information Technology,IT Consulting & Other Services,WIKI_SP500
GE,Industrials,Aerospace & Defense,WIKI_SP500
GEHC,Health Care,Health Care Equipment,WIKI_SP500
GEV,Industrials,Heavy Electrical Equipment,WIKI_SP500
GEN,Information Technology,Systems Software,WIKI_SP500
GNRC,Industrials,Electrical Components & Equipment,WIKI_SP500
GD,Industrials,Aerospace & Defense,WIKI_SP500
GIS,Consumer Staples,Packaged Foods & Meats,WIKI_SP500
GM,Consumer Discretionary,Automobile Manufacturers,WIKI_SP500
GPC,Consumer Discretionary,Distributors,WIKI_SP500
GILD,Health Care,Biotechnology,WIKI_SP500
GPN,Financials,Transaction & Payment Processing Services,WIKI_SP500
GL,Financials,Life & Health Insurance,WIKI_SP500
GDDY,Information Technology,Internet Services & Infrastructure,WIKI_SP500
GS,Financials,Investment Banking & Brokerage,WIKI_SP500
HAL,Energy,Oil & Gas Equipment & Services,WIKI_SP500
HIG,Financials,Property & Casualty Insurance,WIKI_SP500
HAS,Consumer Discretionary,Leisure Products,WIKI_SP500
HCA,Health Care,Health Care Facilities,WIKI_SP500
DOC,Real Estate,Health Care REITs,WIKI_SP500
HSIC,Health Care,Health Care Distributors,WIKI_SP500
HSY,Consumer Staples,Packaged Foods & Meats,WIKI_SP500
HPE,Information Technology,"Technology Hardware, Storage & Peripherals",WIKI_SP500
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",WIKI_SP500
HOLX,Health Care,Health Care Equipment,WIKI_SP500
HD,Consumer Discretionary,Home Improvement Retail,WIKI_SP500
HON,Industrials,Industrial Conglomerates,WIKI_SP500
HRL,Consumer Staples,Packaged Foods & Meats,WIKI_SP500
HST,Real Estate,Hotel & Resort REITs,WIKI_SP500
HWM,Industrials,Aerospace & Defense,WIKI_SP500
HPQ,Information Technology,"Technology Hardware, Storage & Peripherals",WIKI_SP500
HUBB,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
HUM,Health Care,Managed Health Care,WIKI_SP500
HBAN,Financials,Regional Banks,WIKI_SP500
HII,Industrials,Aerospace & Defense,WIKI_SP500
IBM,Information Technology,IT Consulting & Other Services,WIKI_SP500
IEX,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
IDXX,Health Care,Health Care Equipment,WIKI_SP500
ITW,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
INCY,Health Care,Biotechnology,WIKI_SP500
IR,Industrials,Industrial Machinery & Supplies & Components,WIKI_SP500
PODD,Health Care,Health Care Equipment,WIKI_SP500
INTC,Information Technology,Semiconductors,WIKI_SP500
IBKR,Financials,Investment Banking & Brokerage,WIKI_SP500
ICE,Financials,Financial Exchanges & Data,WIKI_SP500
IFF,Materials,Specialty Chemicals,WIKI_SP500
IP,Materials,Paper & Plastic Packaging Products & Materials,WIKI_SP500
INTU,Information Technology,Application Software,WIKI_SP500
