code,name,market,excd
IR,Ingersoll Rand,SP500,NYS
PODD,Insulet Corporation,SP500,NYS
INTC,Intel,SP500,NYS
IBKR,Interactive Brokers,SP500,NYS
ICE,Intercontinental Exchange,SP500,NYS
IFF,International Flavors & Fragrances,SP500,NYS
IP,International Paper,SP500,NYS
INTU,Intuit,SP500,NYS
ISRG,Intuitive Surgical,SP500,NYS
IVZ,Invesco,SP500,NYS
INVH,Invitation Homes,SP500,NYS
IQV,IQVIA,SP500,NYS
IRM,Iron Mountain,SP500,NYS
JBHT,J.B. Hunt,SP500,NYS
JBL,Jabil,SP500,NYS
JKHY,Jack Henry & Associates,SP500,NYS
J,Jacobs Solutions,SP500,NYS
JNJ,Johnson & Johnson,SP500,NYS
JCI,Johnson Controls,SP500,NYS
JPM,JPMorgan Chase,SP500,NYS
KVUE,Kenvue,SP500,NYS
KDP,Keurig Dr Pepper,SP500,NYS
KEY,KeyCorp,SP500,NYS
KEYS,Keysight Technologies,SP500,NYS
KMB,Kimberly-Clark,SP500,NYS
KIM,Kimco Realty,SP500,NYS
KMI,Kinder Morgan,SP500,NYS
KKR,KKR & Co.,SP500,NYS
KLAC,KLA Corporation,SP500,NYS
KHC,Kraft Heinz,SP500,NYS
KR,Kroger,SP500,NYS
LHX,L3Harris,SP500,NYS
LH,Labcorp,SP500,NYS
LRCX,Lam Research,SP500,NYS
LW,Lamb Weston,SP500,NYS
LVS,Las Vegas Sands,SP500,NYS
LDOS,Leidos,SP500,NYS
LEN,Lennar,SP500,NYS
LII,Lennox International,SP500,NYS
LLY,Lilly (Eli),SP500,NYS
LIN,Linde plc,SP500,NYS
LYV,Live Nation Entertainment,SP500,NYS
LMT,Lockheed Martin,SP500,NYS
L,Loews Corporation,SP500,NYS
LOW,Lowe's,SP500,NYS
LULU,Lululemon Athletica,SP500,NYS
LYB,LyondellBasell,SP500,NYS
MTB,M&T Bank,SP500,NYS
MPC,Marathon Petroleum,SP500,NYS
MAR,Marriott International,SP500,NYS
MRSH,Marsh McLennan,SP500,NYS
MLM,Martin Marietta Materials,SP500,NYS
MAS,Masco,SP500,NYS
MA,Mastercard,SP500,NYS
MTCH,Match Group,SP500,NYS
MKC,McCormick & Company,SP500,NYS
MCD,McDonald's,SP500,NYS
MCK,McKesson Corporation,SP500,NYS
MDT,Medtronic,SP500,NYS
MRK,Merck & Co.,SP500,NYS
META,Meta Platforms,SP500,NYS
MET,MetLife,SP500,NYS
MTD,Mettler Toledo,SP500,NYS
MGM,MGM Resorts,SP500,NYS
MCHP,Microchip Technology,SP500,NYS
MU,Micron Technology,SP500,NYS
MSFT,Microsoft,SP500,NYS
MAA,Mid-America Apartment Communities,SP500,NYS
MRNA,Moderna,SP500,NYS
MOH,Molina Healthcare,SP500,NYS
TAP,Molson Coors Beverage Company,SP500,NYS
MDLZ,Mondelez International,SP500,NYS
MPWR,Monolithic Power Systems,SP500,NYS
MNST,Monster Beverage,SP500,NYS
MCO,Moody's Corporation,SP500,NYS
MS,Morgan Stanley,SP500,NYS
MOS,Mosaic Company (The),SP500,NYS
MSI,Motorola Solutions,SP500,NYS
MSCI,MSCI Inc.,SP500,NYS
NDAQ,"Nasdaq, Inc.",SP500,NYS
NTAP,NetApp,SP500,NYS
NFLX,Netflix,SP500,NYS
NEM,Newmont,SP500,NYS
NWSA,News Corp (Class A),SP500,NYS
NWS,News Corp (Class B),SP500,NYS
NEE,NextEra Energy,SP500,NYS
NKE,"Nike, Inc.",SP500,NYS
NI,NiSource,SP500,NYS
NDSN,Nordson Corporation,SP500,NYS
NSC,Norfolk Southern,SP500,NYS
NTRS,Northern Trust,SP500,NYS
NOC,Northrop Grumman,SP500,NYS
